name,IR,q1,q10,spread,slope,trend,agree,n,global,best30,improve,curve
GTJA_Alpha74,-0.6191,0.029369025,0.010766236,-0.018602788,-0.0016706095726201024,降,True,65492,0.01910099,0.026020674,0.006919684,+2.9 +2.6 +2.3 +2.0 +1.6 +1.7 +1.6 +1.3 +1.9 +1.1
VOLUME21,0.5888,0.0022964433,0.018517865,0.01622142,0.0009816170289096513,升,True,70490,0.016879646,0.018255249,0.0013756026,+0.2 +1.5 +1.8 +1.9 +2.0 +2.2 +1.8 +2.0 +1.7 +1.9
Alpha#69,0.4642,0.031065555,0.015196084,-0.015869472,-0.0011654590623396814,降,False,70033,0.016958537,0.02162654,0.004668003,+3.1 +1.7 +1.7 +1.8 +1.6 +1.4 +1.4 +1.3 +1.4 +1.5
PLUS_DI14,-0.6341,0.022178894,0.0070133735,-0.015165521,-0.0015102052186248876,降,True,70920,0.01714557,0.02054823,0.0034026597,+2.2 +1.9 +2.1 +2.2 +2.1 +1.7 +1.8 +1.6 +0.9 +0.7
GTJA_Alpha16,0.7115,0.0070992103,0.021705024,0.014605814,0.00111521099214301,升,True,70906,0.017150963,0.020548226,0.0033972636,+0.7 +1.6 +1.5 +1.7 +1.8 +2.1 +1.6 +2.0 +2.0 +2.2
GTJA_Alpha179,-0.6584,0.026144734,0.011579825,-0.014564909,-0.0014421360172105554,降,True,67133,0.01779616,0.02329121,0.005495049,+2.6 +2.3 +2.1 +1.9 +1.9 +1.5 +1.5 +1.4 +1.5 +1.2
WQ_RANK_CORR_OV,0.6291,0.009395254,0.023805179,0.014409925,0.0016053172392827093,升,True,70907,0.017151643,0.023171036,0.006019393,+0.9 +1.1 +1.6 +1.3 +1.6 +1.8 +1.8 +2.2 +2.3 +2.4
GTJA_Alpha94,-0.4251,0.011252907,-0.00064803805,-0.011900946,-0.0021746285601914137,降,True,70342,0.01688672,0.020915857,0.004029136,+1.1 +2.2 +2.9 +2.9 +2.5 +2.2 +1.4 +1.1 +0.6 -0.1
GTJA_Alpha1,0.5452,0.010431005,0.02211431,0.011683306,0.0011790539617791322,升,True,70920,0.01714557,0.021221537,0.004075967,+1.0 +1.3 +1.7 +1.6 +1.6 +1.5 +2.0 +1.8 +2.3 +2.2
单位股价_资本公积,0.4198,0.009621489,0.020721918,0.011100429,0.001388168047097596,升,True,69694,0.017105239,0.021424415,0.004319176,+1.0 +1.1 +1.4 +1.6 +1.6 +1.8 +2.2 +2.2 +2.2 +2.1
GTJA_Alpha36,-0.5949,0.024280068,0.013499447,-0.01078062,-0.0008253351418357906,降,True,70907,0.017152637,0.020354997,0.0032023601,+2.4 +1.5 +2.2 +1.5 +1.7 +2.0 +1.8 +1.4 +1.3 +1.3
Alpha#26,0.6587,0.011722327,0.022219308,0.0104969805,0.0010602519593455575,升,True,67938,0.016777558,0.020971362,0.0041938033,+1.2 +1.2 +1.2 +2.1 +1.8 +1.5 +1.5 +1.9 +2.2 +2.2
GTJA_Alpha64,0.6868,0.016072113,0.025614353,0.00954224,0.0010948172121336968,升,True,63068,0.021383397,0.025794035,0.0044106375,+1.6 +1.7 +1.6 +2.4 +2.3 +1.9 +2.1 +2.6 +2.6 +2.6
Alpha#15,0.7238,0.010992545,0.020251473,0.009258929,0.0011514637111262843,升,True,70905,0.01715359,0.020403752,0.0032501612,+1.1 +1.2 +1.5 +1.6 +1.7 +2.0 +2.0 +1.8 +2.3 +2.0
GTJA_Alpha118,-0.4982,0.02019444,0.01098047,-0.009213969,-0.0008019693703813985,降,True,70920,0.01714557,0.019545011,0.0023994409,+2.0 +1.9 +2.0 +1.8 +2.0 +1.6 +1.7 +1.6 +1.5 +1.1
VSUMP20,-0.577,0.010530909,0.0025174627,-0.008013446,-0.0006084581216176336,降,True,70920,0.01714557,0.017171847,2.6276335e-05,+1.1 +1.9 +2.2 +2.0 +2.0 +2.2 +1.8 +1.8 +1.8 +0.3
CORD5,-0.5527,0.020370336,0.013164632,-0.007205704,-0.0005823371875466718,降,True,70920,0.01714557,0.018630799,0.0014852285,+2.0 +1.9 +1.6 +1.7 +1.9 +2.0 +1.4 +1.6 +1.6 +1.3
QTLD20,0.4475,0.014637998,0.010136895,-0.0045011034,-0.0003048261401779719,降,False,70920,0.01714557,0.0164495,-0.0006960705,+1.5 +1.5 +2.0 +2.0 +1.8 +2.3 +1.6 +1.9 +1.5 +1.0
GTJA_Alpha140,0.6156,0.011378223,0.015788112,0.0044098888,9.112954139709342e-05,升,True,35441,0.01946058,0.016370911,-0.0030896682,+1.1 +2.2 +1.6 +2.9 +2.2 +2.7 +1.8 +1.7 +1.6
GTJA_Alpha130,0.4352,0.022131532,0.025991121,0.0038595889,0.0006230530413714321,升,True,67595,0.017605247,0.022345234,0.0047399867,+2.2 +1.9 +1.5 +1.2 +1.0 +1.1 +2.1 +2.1 +2.0 +2.6
Alpha#2,0.4845,0.019141356,0.02289519,0.0037538353,0.0003160950360876138,升,True,70920,0.01714557,0.020125367,0.0029797964,+1.9 +1.9 +1.5 +1.5 +1.5 +1.3 +1.5 +1.8 +2.0 +2.3
WVMA20,-0.5546,0.01683219,0.017354269,0.00052207895,0.00013185282322493485,升,False,70920,0.01714557,0.017297847,0.00015227683,+1.7 +1.6 +1.6 +1.9 +1.6 +1.7 +1.9 +1.8 +1.6 +1.7
