timestamp,total,passed,blockers,warns,duration_sec,status
2026-08-06 10:59:26,22,22,0,0,57.4,OK
2026-08-06 11:01:33,22,22,0,0,53.2,OK
2026-08-06 11:03:10,22,22,0,0,58.3,OK
2026-08-06 11:04:53,22,22,0,0,57.8,OK
2026-08-06 11:32:12,22,22,0,0,62.0,OK
2026-08-06 11:33:37,22,22,0,0,50.3,OK
2026-08-06 12:18:26,22,22,0,0,47.0,OK
2026-08-08 19:18:16,22,21,1,0,48.7,FAIL
2026-08-08 19:22:42,22,22,0,0,45.9,OK
2026-08-08 22:23:17,24,22,0,2,88.0,WARN
2026-08-08 22:27:48,24,22,0,2,90.7,WARN
2026-08-10 10:01:01,24,22,0,2,48.2,WARN
2026-08-11 11:58:12,24,21,2,1,56.1,FAIL
2026-08-11 12:02:07,24,23,0,1,59.9,WARN
2026-08-11 12:03:18,24,24,0,0,62.8,OK
2026-08-11 12:13:07,24,24,0,0,57.0,OK
2026-08-11 13:04:03,24,23,0,1,50.9,WARN
2026-08-11 13:05:04,24,24,0,0,50.3,OK
2026-08-11 13:24:31,24,24,0,0,57.5,OK
2026-08-11 16:49:05,24,23,0,1,55.2,WARN
2026-08-11 18:50:02,24,23,0,1,50.1,WARN
2026-08-11 19:13:21,24,23,0,1,56.6,WARN
2026-08-11 19:45:33,24,23,0,1,59.0,WARN
2026-08-12 18:15:13,24,23,0,1,77.7,WARN
2026-08-15 21:51:32,24,23,0,1,58.2,WARN
2026-08-19 20:24:26,24,22,1,1,52.3,FAIL
2026-08-24 16:17:44,24,23,0,1,56.2,WARN
