"","id","trait","ncase","group_name","year","author","consortium","sex","pmid","population","unit","sample_size","build","ncontrol","category","subcategory","ontology","note","mr","nsnp","doi","coverage","study_design","priority","sd"
"34223","eqtl-a-ENSG00000197530","ENSG00000197530",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31470,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18919,NA,NA,NA,0,NA
"34224","ukb-e-recode268_AFR","NA",585,"public",2020,"Pan-UKB team","NA","Males and Females",NA,"African American or Afro-Caribbean","NA",6636,"HG19/GRCh37",6051,"Binary","NA","NA","NA",1,15529262,NA,NA,NA,0,NA
"34225","ubm-a-2807","a2009s lh S oc-temp med&Lingual area",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",8411,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
"34226","prot-c-5364_7_3","SET",NA,"public",2019,"Suhre K","NA","Males and Females",28240269,"European","NA",NA,"HG19/GRCh37",NA,"Continuous","NA","EFO_0007937","name=Protein SET; chr=9; start=128683424; end=128696400; entrez=6418; uniprot=Q01105",1,501428,NA,NA,NA,0,NA
"34227","eqtl-a-ENSG00000102158","ENSG00000102158",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",9188,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,10125,NA,NA,NA,0,NA
"34228","eqtl-a-ENSG00000173889","ENSG00000173889",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31470,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18081,NA,NA,NA,0,NA
"34229","ukb-b-10753","Diabetes diagnosed by doctor",22340,"public",2018,"Ben Elsworth","MRC-IEU","Males and Females",NA,"European","SD",461578,"HG19/GRCh37",439238,"Binary","NA","NA","2443: Output from GWAS pipeline using Phesant derived variables from UKBiobank",1,9851867,NA,NA,NA,1,NA
"34230","eqtl-a-ENSG00000163013","ENSG00000163013",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",26181,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,15624,NA,NA,NA,0,NA
"34231","eqtl-a-ENSG00000142794","ENSG00000142794",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",23093,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,19020,NA,NA,NA,0,NA
"34232","eqtl-a-ENSG00000174680","ENSG00000174680",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",23591,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17484,NA,NA,NA,0,NA
"34233","eqtl-a-ENSG00000116062","ENSG00000116062",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",14263,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18599,NA,NA,NA,0,NA
"34234","prot-a-2808","SPARC",NA,"public",2018,"Sun BB","NA","Males and Females",29875488,"European","NA",3301,"HG19/GRCh37",NA,"Immune system","Protein","NA","NA",1,10534735,NA,NA,NA,0,NA
"34235","eqtl-a-ENSG00000124357","ENSG00000124357",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",14263,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18120,NA,NA,NA,0,NA
"34236","eqtl-a-ENSG00000091127","ENSG00000091127",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",31684,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,18825,NA,NA,NA,0,NA
"34237","eqtl-a-ENSG00000155980","ENSG00000155980",NA,"public",2018,"Vosa U","NA","Males and Females",NA,"European","NA",30895,"HG19/GRCh37",NA,"NA","NA","NA","NA",1,17018,NA,NA,NA,0,NA
"34238","ubm-a-408","IDP dMRI TBSS L2 Retrolenticular part of internal capsule R",NA,"public",2018,"Elliott LT","NA","Males",30305740,"European","NA",7532,"HG19/GRCh37",NA,"Continuous","Psychiatric / neurological","NA","NA",1,11734354,NA,NA,NA,0,NA
